scheme name,ministries/departments,target beneficiaries,eligibility criteria,description & benefits,application process,tags
Mukhyamantri Alpsankhyak Chhatravas Yojana,"Minority Welfare Department, Government of Bihar",Students belonging to minority communities,"1. The applicant should be a native of Bihar. 2. The applicant should be a student. 3. The student should belong to a minority community. 4. The student should be enrolled in a recognized institution, school, college, university, or technical institution in their respective district. 5. The student should be pursuing a course that is recognized by the Government. 6. The student should reside in a hostel operated by the Minority Welfare Department, Government of Bihar, while pursuing their studies.","Under this scheme, students from minority communities who are studying and residing in hostels run by the Minority Welfare Department, Government of Bihar, will receive a monthly stipend of ₹1,000/-, provision of essential facilities such as cots, mattresses, bed sheets, tables, chairs for studying, as well as cooking utensils and kitchen facilities, and monthly distribution of 9 kg of rice and 6 kg of wheat to each student.",Online application through E-kalyan Portal,"Minority Community, Stipend, Student, Hostel, Education"
Parivaar Pension Yojana (JBOCWWB),"Department of Labour, Employment, Training & Skill Development, Govt. of Jharkhand",Family members of deceased pensioners,1. The applicant should be a family member or dependent of the deceased pensioner. 2. The deceased pensioner should have been a resident of Jharkhand. 3. The deceased pensioner should have been receiving a pension from the Jharkhand Building and Other Construction Worker Welfare Board at the time of their death.,The scheme provides 50% of the pension amount or a maximum of ₹ 500/- to the family members of the deceased pensioner.,Online application through the official website of the department. Registration and login are required to submit the application.,"Construction Worker, Family, Pension, Social Welfare"
Nirman Shramik Antrashtriya Khel Pratiyogiyo Hetu Protsahan Yojana,"Labour Department, Rajasthan",Registered beneficiaries employed in building and other construction works and their children,"1. Applicant should be a resident of Rajasthan State. 2. For this scheme, those construction workers will be eligible, who are registered as labour under labour law. 3. Those building and other construction workers will be eligible who are registered as beneficiaries in the board under Section-12 of The Building and Other Construction Workers (Regulation of Employment and Conditions of Service) Act, 1996 and are depositing their contribution regularly. 4. In addition to the above, unmarried sons and daughters of construction workers will also be eligible for assistance under the scheme.","The purpose of this scheme is to encourage registered beneficiaries employed in building and other construction works and their children to participate in international sports. The incentive amount under this scheme for International level sports competition to the eligible beneficiary or his children will be given as follows: - Participating in the competition- ₹ 2,00,000/-, On receiving the Bronze medal- ₹5,00,000/-, On receiving the Silver medal- ₹8,00,000/-, On receiving the Gold medal- ₹11,00,000/-",Online application has to be submitted by the beneficiary on Board's Online Portal in the prescribed format. Approval and selection of the candidate will be done by the senior-most officer of the labour office or the competent authority appointed by the secretary after the application has been examined.,"Construction Worker, International Sports, Participation, Sports Scheme"
Assistance For Major Ailments (Karmika Chikitsa Bhagya) (K.B.O.C.W.W.B),"Department of Labour, Karnataka",Registered construction workers and their dependents,The beneficiary should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka or his/her dependents. The worker or their dependents must suffer from a major ailment specified in the scheme.,"The scheme provides financial assistance to registered construction workers and their dependents for medical expenses related to specified major ailments. Eligible applicants can receive up to ₹2,00,000/- for medical expenses, subject to the rates prescribed under the Central Government Health Service (CGHS).","Online application through the official website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB). The application process involves registration, login, filling in mandatory details, uploading required documents, and submitting the application.","Medical Assistance, Labour, Construction Worker, Building Worker, Ailments"
Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),"Department of Labour, Karnataka",Registered construction workers who are partially disabled due to accidents or diseases incurred at their worksite,"The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka, partially disabled due to worksite accidents or diseases, and not have availed “Accident Benefits” for the same disability, and must be below sixty (60) years of age.",The scheme provides financial support to registered construction workers in the form of pension who are partially disabled due to accidents or diseases incurred at their worksite. Beneficiaries may receive an ex-gratia payment depending on the extent of their disability. The pension is discontinued upon the beneficiary reaching sixty (60) years of age.,Online application process through the official website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB),"Disability, Pension, Ex-Gratia, Labour, Karnataka"
Artificial Limbs and Assistive Devices Supply Scheme,Social Welfare Department of the Government of Chhattisgarh,Persons with disabilities of 40% or more,"1. Resident of Chhattisgarh, 2. Disability of 40% or more, 3. Possess a Disability Certificate or UDID Card, 4. Monthly income not exceeding ₹8,000/-, 5. Either a member of a BPL family or have a recommendation from the Collector or Sub-Divisional Officer (Revenue)","The scheme provides artificial limbs/assistive devices worth up to ₹6,900/- to persons with disabilities, aiming to increase their mobility and reduce the impact of their disabilities",Offline application submission to the Joint Director/Deputy Director at the District Office of the Panchayat and Social Welfare Department,"Artificial Limbs, Assistive Devices, Disability, BPL, PwD"
Skill Upgradation and Vocational Education Scheme: For Worker (P.B.O.C.W.W.B),"Department of Labour, Punjab",Registered workers of the BOCW Welfare Board,"The applicant should be a resident of Punjab, a Building/ Construction Worker (Unorganised Worker), between 18 and 60 years, have engaged in building and construction work for at least 90 days in a given year, have a monthly income of ₹15,000/- or below, not be a member of any other Welfare Fund established under any law, not have membership of the Employees' Provident Fund (EPF)/ National Pension System (NPS)/ Employees' State Insurance Corporation (ESIC), and not be an income tax payer.","The scheme provides full course fees, boarding and lodging assistance to the registered workers who acquire Skill from technical institutions such as ITIs /Polytechnic colleges etc.","Online - via CSCs, Offline - through nearby Sewa Kendra or Registering Officers/ Labour Inspector","Skill Upgradation, Vocational Education, Building Worker, Construction Worker, Labour"
Rashtriya Gram Swaraj Abhiyan - Internship Program,Ministry Of Panchayati Raj,"Students enrolled/pursuing undergraduate, graduate, or postgraduate degree programs and 'Young Research Scholars' enrolled/pursuing Doctoral (Ph.D.) or post-doctoral degrees","The applicants i.e., ‘Students’ are enrolled/pursuing Undergraduate/Graduate/Postgraduate degree programme or ‘Research Scholars’ enrolled/pursuing Doctoral (Ph.D.)/Post-Doctoral degree in recognised/reputed University(s)/Institution(s) or completed any of the mentioned course , within last 2 years from India or Abroad are eligible to apply for the Internship Program.","The Internship Program is specifically focusing on the ‘Office set-up of MoPR’. The selected candidates will receive a certificate of completion. The Internship Program, MoPR shall provide a flat rate/amount of Rs.7,000/- per month as ‘stipend’ to the ‘Intern’, depending on the best applicants.",Online application through ServicePlus website and then visit the website of the ministry to apply for the scheme.,"Internship, Research, Students, Rural Development, Policy and Action Research"
Skill Development Training - 90 Days Skill Development Training Programme in Curtain & Garment Stitching,"Telangana Building & Other Construction Workers Welfare Board, LET&F (Labour) Department, Telangana",Unemployed girls and women who are dependents of registered construction workers,"1. The applicant should be a woman. 2. The applicant should be a dependent of the registered construction worker. 3. The applicant's age should be 18 years or above. 4. The applicant must have completed at least the 5th class. 5. The applicant should have knowledge of Telugu, Hindi, and English language. 6. The applicant should be any one of the following: Unemployed Girls, Widowed, Divorced and Deserted Daughters, Spouse","The scheme offers a 90-day non-residential skill development training programme specifically designed for unemployed girls and women who are dependents of registered construction workers. The programme focuses on imparting curtain and garment stitching skills, providing participants with the necessary tools and training to become self-reliant and enhance their employability. Benefits include gaining hands-on experience and technical skills in curtain and garment stitching, receiving a domestic sewing machine upon completion of the training, and enhancing employability.","Offline application process involving downloading the application form, filling in the mandatory fields, attaching required documents, and submitting the application to the concerned officer in the labour department.","Skill Development, Training, Women Empowerment, Self-employment, Sewing Machine, Construction Workers"
Leave Travelling Concession Scheme (P.B.O.C.W.W.B),"Department of Labour, Punjab",Registered construction workers,"The applicant should be a resident of Punjab, a Building/ Construction Worker (Unorganised Worker), between 18 and 60 years, engaged in building and construction work for at least 90 days in a given year, with a monthly income of ₹15,000/- or below, and not a member of any other Welfare Fund established under any law.",The scheme provides ₹2000/- as Leave Travelling Concession (LTC) to eligible registered construction workers for journeys to religious/ historical places in India or visiting their hometown.,"Online - via CSCs, Offline - through nearby Sewa Kendra or Registering Officers/ Labour Inspector","Labour, Leave Travelling Concession, Construction Worker, Welfare Scheme"
Balri Birth Gift Scheme (P.B.O.C.W.W.B),"Department of Labour, Punjab",Registered workers of the BOCW Welfare Board,"The applicant should be a resident of Punjab, a Building/ Construction Worker (Unorganised Worker), between 18 and 60 years, engaged in building and construction work for at least 90 days in a given year, with a monthly income of ₹15,000/- or below, and not a member of any other Welfare Fund established under any law.","The scheme provides financial assistance in the form of a Fixed Deposit Receipt (FDR) for the birth of a female child, with a maximum of two girls per family. The FDR can be encashed only at the time of the daughter's marriage.",Online application through CSCs or by approaching the nearby Sewa Kendra or Registering Officers/ Labour Inspector of the area.,"Building Worker, Construction Worker, Fixed Deposit, Girls, Insurance, Labour"
Women Self Employment Scheme,"Department of Social Justice and Empowerment, Government of Himachal Pradesh",Women and physically handicapped individuals,"The applicant should be a woman, set up their own business trade, and small industry to earn their livelihood. The applicant's annual income does not exceed ₹35,000/-. Physically handicapped individuals are also eligible to apply under this scheme.","The scheme aims to provide financial assistance to women to start small businesses or trades. This scheme encourages women to become self-reliant and supports their efforts in establishing small-scale industries or trade ventures, thereby improving their economic status and promoting self-employment opportunities across the state. Financial Assistance of ₹5,000/- provides women to help them start small businesses or trade activities.",Offline application process involving submission of application form and required documents to the District Welfare Officer.,"Business, Financial Assistance, Self-Employment, Women"
Mukhyamantri Shramik Aujaar Sahayata Yojana,Labor Department of Chhattisgarh,Construction workers,1. The Applicant must be a native of Chhattisgarh. 2. The beneficiary should be a construction worker. 3. The beneficiary should be registered under the Building and Construction Workers Welfare Board. 4. The age of the registered worker should not be less than 18 years.,"The scheme provides financial assistance to registered construction workers to buy tool kits. 10,000 tool kits are distributed annually to registered construction workers.",Online application through the official website of Chhattisgarh Labour Department. Steps: 1. Register as a construction worker under CBOCWWB. 2. Apply for the scheme by selecting the scheme and uploading required documents.,"Construction workers, Financial Assistance, Labour Tools, Chhattisgarh"
Battery Operated Wheelchair by Welfare of Differently Abled Persons Department,"Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu","Differently Abled Person, Muscular Dystrophy, Tetraplegia-affected persons",The applicant should be affected by Muscular Dystrophy or Tetraplegia,Free distribution of Battery-Operated Wheelchairs to provide mobility assistance to individuals affected by Muscular Dystrophy and Tetraplegia,Offline application through District Differently Abled Welfare Officer,"Social Welfare, Disability, Mobility Assistance"
Bihar Disability Pension Scheme,"Social Welfare Department, Government of Bihar",Differently-abled individuals from poor families,"1. Resident of Bihar or residing in Bihar for at least 10 years, 2. Physically disabled, 3. Disability certificate with a minimum of 40% disability, 4. Not receiving pension benefits under any other social security scheme",Provides social security to differently-abled individuals from poor families by offering them financial assistance in the form of a monthly pension of ₹400/-,Offline application process: Submit duly filled and signed application in prescribed format along with required attachments at the Right to Public Service (RTPS) counter located at the block office level,"Disability, Pension, PwD, Social Security"
Accidental Benefit,"Labour Department, West Bengal","Registered construction workers of the Building and Other Construction Workers Welfare Board, West Bengal","The applicant should be a resident of West Bengal, a Building/ Construction Worker, between 18 and 60 years old, and have engaged in building and construction work for at least 90 days in a given year.","The scheme provides financial assistance to beneficiaries in case of hospitalization for 5 or more days and disability due to an accident. Benefits include up to ₹10,000/- for hospitalization, up to ₹50,000/- for disablement, ₹750/- per month for permanent disablement, and ₹375/- per month for family pension in case of death of a pension holder.",Offline application process involves submitting Form-XXXIV with mandatory documents to the Assistant Labour Commissioners/ Beneficiary Registering Officers.,"Accidental Benefit, Building Worker, Construction Worker, Disability, Hospitalization, Labour, West Bengal"
Subsistence and Transport Allowance to Disabled Students for Pursuing Education in Computer and Management,Higher Education Department of the Government of Madhya Pradesh,Disabled students pursuing computer or management courses at government colleges,"1. The applicant should be a native of Madhya Pradesh. 2. The applicant should be a disabled student. 3. The student should be studying a Computer or Management subject/course at a government college. 4. The applicant should belong to the Scheduled Caste or Scheduled Tribe category. 5. The annual income of the applicant's parents or guardians should not exceed ₹1,00,000/-.","The scheme provides reimbursement for the fees charged for computer and management courses. Additionally, eligible students receive a subsistence allowance of ₹1,500/- per month and a transport allowance of ₹500/- per month if they are in Municipal Corporation areas and ₹300/- per month if they are in Municipal Council areas.","Offline. The application process involves advertisement issuance by the Directorate of Higher Education, application examination by the concerned Regional Additional Director, and approval and disbursement of the amount to the applicant's bank account.","Computer, Disabled Student, Management, PwD, Scheduled Caste, Scheduled Tribe, Subsistence Allowance, Transport Allowance"
Civil Services Incentive Scheme for Persons with Disabilities,"Social Justice and Empowerment of Persons with Disabilities Department, Government of Madhya Pradesh",Disabled candidates who are successful at various stages of the Civil Services Examination,"1. The applicant should be a native of Madhya Pradesh. 2. The applicant should have a disability of 40% or more. 3. A disabled candidate who passes any stage (preliminary examination, main examination, or final selection) of the Civil Services Examination conducted by the Union Public Service Commission (UPSC), New Delhi, or the Madhya Pradesh Public Service Commission (MPPSC), Indore, is eligible for the scheme. 4. The application form should be submitted within 6 months of the exam result declaration.","The objective of the scheme is to encourage disabled candidates who are successful at various stages of the Civil Services Examination conducted by the Union Public Service Commission (UPSC), New Delhi, and the Madhya Pradesh Public Service Commission (MPPSC), Indore. Under this scheme, eligible candidates will receive financial incentives: ₹20,000/- on passing the preliminary examination, ₹30,000/- on passing the main examination, and ₹20,000/- on final selection.","Offline application in the prescribed format to the office of the Joint Director/Deputy Director, Social Justice and Empowerment of Persons with Disabilities Department in their district.","Civil Services, Disabled, Incentive, MPPSC, PwD, UPSC"
Videsh Siksha Yojana (MPBOCWWB),Labor Department of Madhya Pradesh,Children of registered construction workers,"1. The applicant should be a child of a construction worker. 2. Either parent of the applicant should be registered with the Madhya Pradesh Building & Other Construction Workers Welfare Board and hold a valid identity card for a continuous period of 5 years. 3. To pursue a postgraduate degree, it is mandatory for the applicant to have passed the graduation degree with 60% marks in the first division or its equivalent grade. 4. For PhD degree, it is essential to have passed a postgraduate degree with 60% marks in the first division and 02 years of teaching/research/M.Phil degree in the relevant field. 5. If the student is receiving benefits from any other source, he/she will not be eligible for this scheme.",The scheme provides financial assistance for study abroad to a maximum of 50 students every year to the children of registered construction workers to pursue quality higher education in recognized institutions abroad. The selected students are entitled to scholarships and other benefits for courses at the postgraduate level and a research degree (Ph.D.) for two years abroad.,Online application through the 'Shram Sewa Portal' of the Madhya Pradesh Building and Other Construction Workers Welfare Board.,"Abroad, Building Worker, Construction Worker, Financial Assistance, Higher Education, Scholarship"
Research Scholarship for Disabled Students,"Higher Education Department, Government of Madhya Pradesh",Differently-abled students pursuing PhD research,"1. Native of Madhya Pradesh, 2. Disabled student, 3. Registered for PhD research at any recognized university in India, 4. Postgraduate degree with minimum qualifying marks as per UGC guidelines, 5. Annual family income not exceeding ₹1,00,000/-","Financial support for PhD research to differently-abled students, ₹16,000/- per month, totaling ₹1,92,000/- per year","Offline, Advertisement issuance by Directorate of Higher Education, Application scrutiny, Approval and disbursement of scholarship amount","Disabled Students, PhD, Research, Scholarship, Madhya Pradesh"
Niramaya Scheme,"Department of Health & Family Welfare Department, Government of Odisha",Patients visiting government health facilities,Patients who have done registration in the Govt. Hospitals are eligible to get free medicines under 'Niramaya'. Beneficiaries must be residents of Odisha.,"The scheme provides quality essential medicines for all kinds of diseases to patients visiting government health facilities at free of cost. It provides cashless medicinal drugs, has no age limit, easy enrollment, increased access, reduced financial burden, and enhanced health outcomes.",Online and Offline application process available. Beneficiaries can apply through the portal or download the mobile application.,"Free Medicines Distribution, Health, Odisha"
Skill Development Training - 15 Days Residential Skill Up-gradation Training Programme,"Telangana Building & Other Construction Workers Welfare Board, LET&F (Labour) Department, Telangana",Registered construction workers,"The worker must be registered with the Telangana Building & Other Construction Workers Welfare Board, Hyderabad. The worker's age should be between 18-45 years old. The worker should have knowledge of Telugu, Hindi, and English language.","The scheme offers a comprehensive 15-day residential skill upgradation training programme designed to enhance the skills of registered construction workers. This programme aims to improve proficiency in various construction trades, ensuring better safety standards, productivity, and employability. The programme provides a stipend of ₹300/- per day per trainee.","Offline application process involving 5 steps: 1) Visit the official website and download the application form, 2) Fill in all the mandatory fields and attach required documents, 3) Submit the application form to the concerned officer in the labour department, 4) Request a receipt or acknowledgment from the concerned authority, 5) Ensure the receipt contains essential details.","Skill Development, Training, Construction Workers, Financial Assistance, Telangana"
Sainik School Sujanpur Tihra Scholarship Scheme,"Department of Education, Himachal Pradesh",Students of Himachal Pradesh studying at Sainik School Sujanpur Tihra from Class VI to XII,"Bonafide residents of Himachal Pradesh, studying at Sainik School Sujanpur Tihra, and meeting merit-cum-means basis","Scholarship of ₹18,000/- per annum, Dietary Money @ ₹10/- per day for 295 days, and Clothing Allowance @ ₹1,500/- per annum for the first year and ₹750/- per annum for the subsequent years",Online application through National Scholarship Portal (NSP),"Sainik School, Scholarship, Himachal Pradesh, Education"
Spurring Entrepreneurship Initiative,Mission Youth,Youth of the Union Territory of Jammu & Kashmir,"Age between 18 to 40 years, minimum qualification of 12th standard or above, unemployed and registered with the concerned District Employment and Counseling Center, etc.","Provides financial assistance to youth for establishing their business units with a special focus on high-growth entrepreneurship, encourages innovation and job creation, and fosters high-growth entrepreneurship through business plan competitions.","Offline and Online application process, download and fill the application form, submit the form along with required documents in the office of Chief Executive Officer, Mission Youth, Civil Secretariat, Jammu and Kashmir.","Financial Assistance, High Growth Entrepreneurship, Start Up Loan, Young Entrepreneurs, Innovation, Job Creation"
Sukhad Sahara Yojana,"Social Welfare Department, Government of Chhattisgarh",Widows and deserted women living below poverty line (BPL),1. The applicant should be a native of Chhattisgarh. 2. The applicant should be either a widow or a deserted woman. 3. The age of the widow should be between 18 and 39 years. 4. The age of the deserted woman should be 18 years or older. 5. The applicant's name should be included in the list of families living Below Poverty Line. 6. The applicant should not be receiving pension benefits from any other Central or State Government pension scheme.,Financial assistance of ₹500/- per month to support widows and deserted women living below poverty line (BPL) in living a respectful life.,"Offline: Collect application form from Gram Panchayat/Municipal Corporation, fill out and submit. Online: Apply through eDistrict Chhattisgarh Portal.","Widow, Deserted Woman, Financial Assistance, BPL, Chhattisgarh"
Maintenance Of Pregnant Desi Indigenous Cows Ration For BPL Families,"Department of Animal Husbandry, Government of Himachal Pradesh",BPL families of all categories of livestock farmers in Himachal Pradesh who own pregnant Desi/Indigenous cows,Livestock owners belonging to BPL families of all categories rearing Desi/Indigenous/crossbred cows,"The scheme provides a balanced ration of 3 kg per day for up to two cows or buffaloes for three months during the last trimester of pregnancy to BPL families. The benefits include improved cow health, improved calf growth and development, increased milk production, better breed quality, employment generation, and reduced poverty.","Online application through the official website of the department of Animal Husbandry, Government of Himachal Pradesh. The applicant needs to fill the application form, upload required documents, and submit it to the concerned department.","Pregnant Desi Indigenous Cows, BPL Families, Livestock Farmers, Himachal Pradesh, Animal Husbandry"
Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),"Sainik and Ardh Sainik Welfare Department, Government of Haryana",Widows of ex-servicemen (other than war widows) and their daughters,"The applicant should be a resident of Haryana, the applicant should be the widow of an ex-serviceman who did not die in the war, the daughter should be at least 18 years old, the widow can receive the benefit for up to two of her daughters, the widow should not have remarried or should have remarried the real brother of her late husband","Financial assistance of ₹11,000/- is provided to the widows of ex-servicemen (other than war widows) for the marriage of their daughters, for up to two daughters who are at least 18 years old","Online application through Antyodaya-SARAL Portal, registration, login, filling out the application form, uploading mandatory documents, and tracking the application status","Marriage, Financial Assistance, Ex-Servicemen, Widows, Daughters, Haryana"
Mukhyamantri Anusuchit Jati Evam Anusuchit Janjati Chhatrawas Anudan Yojana,"SC and ST Welfare Department, Government of Bihar",Scheduled Caste and Scheduled Tribe students studying in hostels,1. The student should be a resident of Bihar state. 2. The student belongs to the Scheduled Caste and Scheduled Tribe. 3. The student should be enrolled and reside in hostels following the departmental guidelines and instructions operated by the Scheduled Caste and Scheduled Tribe Welfare Department. 4. The student should be studying in a recognized course. 5. The student should be studying in a recognized educational institution.,"The scheme provides ₹1,000/- per month to the students studying in Scheduled Caste/Scheduled Tribe hostels. The scheme also provides facilities such as a cot, mattress, bed-sheet, table and chair for studying, utensils for cooking and kitchen, etc.","Offline application process: 1. The interested applicant requests a hard copy of the prescribed format of the application form from the Hostel Superintendent or writes an application in plain paper. 2. Submit the duly filled and signed application along with the documents to the Hostel Superintendent. 3. After receiving the student's application, the list of students and related information will be uploaded/online on the Scheduled Caste and Scheduled Tribe Welfare Department portal by the Hostel Superintendent.","Grant, Hostel, Scheduled Caste, Scheduled Tribe, Student"
Scheme for Celebration of Birth/death Anniversary of Eminent Personalities,"Department for the Welfare of SC / ST / OBC / Minorities, Government of NCT of Delhi","NGOs, weaker sections of society",NGOs should be registered under the Societies Registration Act and have audited accounts,"Assistance for the organization of events for the Birth/Death anniversaries of prominent figures who have significantly contributed to social justice and the upliftment of weaker sections of society. Financial assistance up to ₹50,000/- per occasion, for a maximum of two occasions in one year.",Offline application process involving submission of a hard copy of the prescribed format of the application form along with mandatory documents to the Department for the Welfare of SC/ST/OBC,"Social Justice, Weaker Sections, NGOs, Eminent Personalities, Birth/Death Anniversary"
Maintenance of Pregnant Desi/Indigenous Cow/Buffalo Ration Scheme for BPL families belonging to Scheduled Caste (SC) category,"Department of Animal Husbandry, Government of Himachal Pradesh",BPL families belonging to Scheduled Caste (SC) category rearing Desi/Indigenous/crossbred cows or buffaloes,1. The beneficiary should be a permanent resident of Himachal Pradesh. 2. Livestock owners belonging to BPL of Scheduled Caste category families rearing Desi/Indigenous/crossbred cows or buffaloes are eligible under the scheme. 3. The subsidy will be provided to each BPL of Scheduled Caste category families for a maximum of up to two Desi/Indigenous cows/their crosses or buffaloes.,"The scheme provides a 50% subsidy on a balanced ration for pregnant cows or buffalo during the last trimester of pregnancy. Benefits include increased milk production, improved health of pregnant cows & buffaloes, and birth of healthy calves.","Online application through the official website of the Department of Animal Husbandry, Government of Himachal Pradesh. Fill the application form, upload required documents, and submit.","Livestock, Pregnant Cows or Buffaloes, BPL Families, Scheduled Caste (SC) Category, Himachal Pradesh"
Pratibha Yojana,"Tribal Affairs Department, Government of Madhya Pradesh","Scheduled Tribe students who have passed national competitive examinations and taken admission in IIT, NIT, NLU, MBBS (government colleges located in Madhya Pradesh), AIIMS or NDA","The applicant should be a student, a native of Madhya Pradesh, belong to the Scheduled Tribe category, have an annual family income not exceeding ₹6,00,000/-, and have qualified in national competitive exams like JEE, NEET, CLAT, AIIMS, or NDA","This scheme provides financial assistance to Scheduled Tribe students who have passed national competitive examinations and taken admission in IIT, NIT, NLU, MBBS (government colleges located in Madhya Pradesh), AIIMS or NDA. The financial assistance is ₹50,000/- for students whose annual parental income is up to ₹3,00,000/- and ₹25,000/- for students whose annual parental income exceeds ₹3,00,000/-","Eligible students should apply through the online portal of the Madhya Pradesh Tribal Affairs & Scheduled Caste Welfare Automation System (MPTAASC). The application process involves registration, filling out the online application form, uploading necessary documents, and submitting it","Higher Education, Scheduled Tribe, Financial Assistance, National Competitive Examinations, IIT, NIT, NLU, MBBS, AIIMS, NDA"
Medical Expenses for Treatment of Major Ailments (O.B.O.C.W.W.B),"Labour Department, Odisha",Registered workers of the Building and Other Construction Workers Welfare Board,"The applicant should be a resident of Odisha, a Building/ Construction Worker, between 18 and 60 years, engaged in building and construction work for at least 90 days in a given year, and not a member of any other Welfare Fund established under any law. The beneficiary should be registered at least for one year in lines of the Odisha State Treatment Fund.","The scheme provides financial assistance as medical expenses for the treatment of beneficiary or his/ her dependents suffering from disease of Nervous system (Brain & spine related), Cardiovascular System, Kidney and Cancer. The assistance amount is ₹3,00,000/-.","The application process involves online and offline modes. For online mode, the applicant needs to visit the official website of the Odisha BOCWW Board, sign in, fill in the required details, and submit the application. For offline mode, the applicant needs to download Form-XXVII, attach the required documents, and submit it to the District Labour Officers (D.L.O)/ Asst. Labour Officers/ Rural Labour Inspectors.","Medical Expenses, Treatment of Major Ailments, Building and Other Construction Workers Welfare Board, Labour Department, Odisha"
Maternity Benefit (O.B.O.C.W.W.B),"Labour Department, Odisha, Building and Other Construction Workers Welfare Board",Female beneficiaries who are registered workers of the board,"The applicant should be a resident of Odisha, a Building/ Construction Worker, between 18 and 60 years, engaged in building and construction work for at least 90 days in a given year, registered for a period of one year or more under the board, and pregnant.","The scheme provides financial assistance in the form of maternity benefits to the female beneficiaries subject to a maximum of two children who are registered beneficiaries for a period of more than one year under the Odisha Building and Other Construction Workers Welfare Board. The financial assistance provided under this scheme ranges from ₹8,000/- to ₹10,000/- per child.","The application process involves online and offline modes. For online mode, the applicant needs to visit the official website of the Odisha BOCWW Board, sign in, fill in the required details, and submit the application. For offline mode, the applicant needs to download Form-XXVII, attach the mandatory documents, and submit it to the District Labour Officers (D.L.O)/ Asst. Labour Officers/ Rural Labour Inspectors.","Maternity, Pregnancy Care, Women, Labour, Construction Worker, Building Worker, Child Delivery"
State Marriage Assistance Scheme,"Department of Social and Tribal Welfare, UT Ladakh","Female beneficiaries from AAY or PHH ration cardholder families, and Divyangjan beneficiaries with benchmark disabilities","The applicant should belong to Antodaya Anna Yojana (AAY) or Priority Household (PHH) ration cardholder families. The bride and bridegroom should be permanent residents of Ladakh. The bride should be above 18 years of age. The bridegroom should be above 21 years of age. The marriage should be the first marriage between the bride and the groom. The divyangjan applicants with benchmark disabilities as defined in “The Rights of Persons with Disabilities Act, 2016 are eligible.","The scheme provides one-time financial assistance of ₹50,000/- to female beneficiaries from AAY or PHH ration cardholder families. Additionally, Divyangjan beneficiaries receive ₹1,00,000/-.","Offline application process involving submission of application form and required documents to the District Social Welfare Officer, Tehsil Social Welfare Officer, or Social Worker of the Department in Leh/Kargil.","Marriage, Financial Assistance, Ladakh, Female, Differently-abled Person"
Nalkoop Khanan Yojana- Madhya Pradesh,"Farmer Welfare and Agriculture Development Department, Government of Madhya Pradesh",Farmers from Scheduled Caste and Scheduled Tribe categories,"The applicant should be a native of Madhya Pradesh, a farmer, from the Scheduled Caste or Scheduled Tribe category, and own agricultural land within the state.","The scheme provides a subsidy covering 75% of the unit cost (up to ₹25,000/-) for digging a tube well and 75% of the unit cost (up to ₹15,000/-) for the successful installation of a tube well submersible pump.","Offline application by visiting the office of the Deputy Director, Farmers Welfare and Agriculture Development Department in their respective district in Madhya Pradesh.","Farmer, Nalkoop, Pump, Subsidy, Tube Well"
Assistance for Purchase of Safety Equipment (O.B.O.C.W.W.B),"Labour Department, Odisha, Building and Other Construction Workers Welfare Board",Registered workers of the Building and Other Construction Workers Welfare Board,"The applicant should be a resident of Odisha, a Building/ Construction Worker, between 18 and 60 years, engaged in building and construction work for at least 90 days in a given year, and not a member of any other Welfare Fund established under any law. The applicant should also be a registered member of the Odisha Building and Other Construction Workers Welfare Board and have deposited up-to-date annual contributions for one year to the Board.","The scheme provides one-time reimbursement of ₹1,000/- to each beneficiary who is registered with the Board for purchasing Safety Equipment like Helmet, Safety shoes and Hand-gloves on production of original bill/ voucher.","The application process involves online and offline modes. For online mode, the applicant needs to visit the official website of the Odisha BOCWW Board, sign in, fill in the required details, and submit the application. For offline mode, the applicant needs to download Form-XXVII, attach the required documents, and submit it to the District Labour Officers (D.L.O)/ Asst. Labour Officers/ Rural Labour Inspectors.","Safety Equipment, Helmet, Safety shoes, Hand-gloves, Labour, Construction Worker, Building Worker, Odisha"
Rehabilitation of Cured Leprosy Persons: Pre & Post-Matric Scholarship,"Social Security and Empowerment of Persons with Disabilities (SSEPD) Department, Government of Odisha",Cured Leprosy children and children of Cured Leprosy Persons,"The applicant is a bonafide resident of Odisha, is either a child cured of leprosy or a child of a cured leprosy person, is a regular student of recognized educational institutions, has a family income of not more than Rs. 2,40,000/- per annum, and is not in receipt of any financial assistance from the State Govt./ Central Govt. under any other scheme.","The scheme provides financial assistance to support the education of cured leprosy children and children of cured leprosy persons studying at pre-matriculation or post-secondary stages in India. The scholarship amount varies based on the level of education: ₹800/- per month for pre-matric (Std. V to X), ₹1,000/- per month for post-matric (Std. XI-XII), ₹1,500/- per month for general graduate/post-graduate courses, and ₹2,000/- per month for professional degrees/diplomas/certificates.","Offline application process: Download the application form, fill out all required sections accurately, submit the completed application form along with all attached documents to the Block/ULB Administration office, and ensure you receive a submission receipt for future reference.","Leprosy Persons, Post Matric, Pre Matric, Rehabilitation, Scholarship, Student"
