Application Process,Eligibility Criteria,Scheme Name,URL,Target Beneficiaries,Ministries/Departments,Tags,Description & Benefits
"Offline application process: 1. Visit the Head of the Institution and request the hard copy of the prescribed format of the application form. 2. Fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents within the prescribed period.",1. The applicant must belong to the Scheduled Caste category. 2. The applicant must be a native of Madhya Pradesh. 3. The applicant must be a regular student of a recognized institution. 4. There is no income limit for senior hostels.,Operation of SC Senior Hostel,https://www.myscheme.gov.in/schemes/oossh,Scheduled Caste students,"Scheduled Caste Welfare Department, Government of Madhya Pradesh","Hostel, Scheduled Caste, Student, Madhya Pradesh, Education","The scheme provides accommodations and a conducive learning environment for Scheduled Caste students. Through this scheme, separate junior, senior, and college hostels with free boarding and lodging facilities are provided to both boys and girls."
"Offline application process involving obtaining the application form from Taluka Mamlatdar’s office, filling out the form with accurate details and attaching required documents, submitting the form to the Taluka Mamlatdar, and verification and approval by the Mamlatdar.","The applicant must be a resident of Gujarat, a widowed woman, aged 18 years or above, and have an annual income not exceeding ?1,20,000/- in rural areas and ?1,50,000/- in urban areas.",Ganga Swarupa Pension Scheme,https://www.myscheme.gov.in/schemes/gspsg,Widowed women,"Women and Child Development Department, Gujarat","Monthly Assistance, Widow Pension, Women Empowerment","The scheme aims to empower widowed women by offering financial support, ensuring they achieve self-reliance and dignity. Eligible beneficiaries receive a monthly pension of ?1,250/- directly deposited into their Post Office accounts."
"Online application through the National Livestock Mission portal, involving registration, document upload, and loan sanction","Individuals, Self Help Groups (SHGs), Farmer Producer Organizations (FPOs), Farmer Cooperatives (FCOs), Joint Liability Groups (JLGs), Section 8 Companies",Sub-mission on Breed Development of Livestock and Poultry,https://www.myscheme.gov.in/schemes/smbdlp,"Small-scale livestock farmers, rural entrepreneurs, SHGs, and FPOs","Ministry of Fisheries, Animal Husbandry and Dairying","Livestock, Poultry, Rural Development, Entrepreneurship, Breed Improvement","The scheme aims to develop entrepreneurship and breed improvement in poultry, sheep, goat, and piggery, providing incentivization for entrepreneurship development and breed improvement infrastructure. It offers capital subsidies, loan sanctions, and training support."
"Offline application process involving multiple steps including logging in, filling out the application form, uploading documents, and submitting the application.",State Livestock Agencies are eligible to apply for this scheme.,Establishment of Regional Semen Production Laboratory and Semen Bank for Sheep and Goat,https://www.myscheme.gov.in/schemes/ersplsbsg,State Livestock Agencies,"Ministry of Fisheries, Animal Husbandry and Dairying","Conservation, Genetic Improvement, Genetic Upgradation, Goat, Reproductive Technology, Sheep","The scheme aims to genetically improve indigenous sheep/goat breeds through selective breeding, upgrade non-descript breeds by cross-breeding with high genetic rams or bucks, and reduce negative selection and inbreeding by propagating superior male germplasm through artificial insemination and other developed assisted reproductive technologies."
"Online application through the Investor Facilitation Portal (IFP), with a registration process, post-registration process, and required documents","The firm must be a Micro/Small/Medium enterprise in the service sector, obtained acknowledgment or registration from the Ministry of MSME or the Department for Promotion of Industry and Internal Trade (DPIIT), as applicable, and meet other specified criteria","Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Service Sector)",https://www.myscheme.gov.in/schemes/agmsmecisss,"Micro, Small and Medium Enterprises (MSMEs) in the service sector","Industries and Mines Department, Gujarat","MSMEs, Service Sector, Interest Subsidy, Gujarat, Entrepreneurship, Business","Provides an interest subsidy on the term loan to support micro-enterprises in the service sector, with varying incentive rates depending on the category of taluka, and additional interest subsidies for differently-abled entrepreneurs, women entrepreneurs, and registered startups"
"Offline application process through the Investor Facilitation Portal (IFP), involving registration, login, and submission of required documents.","The firm must be a Micro/Small/Medium enterprise, obtained acknowledgment or registration from the Ministry of MSME or the Department for Promotion of Industry and Internal Trade (DPIIT), new manufacturing enterprises or existing ones undertaking expansion or diversification, commence commercial production during the scheme's operative period, and plan to implement ICT solutions.",Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance in Implementation of Information and Communication Technology,https://www.myscheme.gov.in/schemes/agmsmeict,Micro/Small/Medium enterprises (MSMEs),"Industries and Mines Department, Gujarat","MSMEs, ICT, Cloud Computing, Networking, Gujarat, Aatmanirbhar Gujarat, Aatmanirbhar Bharat","The scheme provides financial assistance to enterprises for the implementation of Information and Communication Technology (ICT) solutions, including hardware for cloud computing and networking, with a maximum assistance of up to ?5,00,000/- during the operative period of the scheme."
"Online application process involving submission of a detailed project proposal, obtaining administrative approval, preparing and submitting required documents, collaborating with implementing agencies, and monitoring progress.","The applicant must be a recognized municipality, municipal corporation, or urban/area development authority within Gujarat.",Swarnim Jayanti Mukhya Mantri Shaheri Vikas Yojana (SJMMSVY),https://www.myscheme.gov.in/schemes/sjmmsvy,"Municipalities, municipal corporations, and urban/area development authorities within Gujarat",Urban Development and Urban Housing Department,"Urban Development, Water Supply, Underground Drainage, Sewage Treatment, Solar Energy, Gujarat","The scheme aims to upgrade urban infrastructure, focusing on water supply and underground drainage. Key projects include the 'Nal Se Jal' initiative for daily tap water supply, the establishment of Sewage Treatment Plants (STPs), and the integration of solar energy for operational efficiency."
"Offline application process involving obtaining and filling out the application form, attaching required documents, and submitting it to the Regional Transport Office (RTO) with a nominal fee of ?1.","The applicant must be a private bus operator registered in Jharkhand, operate new light/medium commercial four-wheeled vehicles with seating capacities ranging from 7 to 42, ensure vehicles comply with the Motor Vehicles Act, 1988, and have either a Hard Top or Soft Top body.",Jharkhand Mukhyamantri Gram Gadi Yojana,https://www.myscheme.gov.in/schemes/jmggy,"Rural residents, Private bus operators","Transport Department, Government of Jharkhand","Rural connectivity, Private bus operators, Financial assistance, Tax exemptions, Subsidies","The scheme aims to improve rural connectivity by incentivizing private bus operators and enhancing transportation facilities for rural residents. Benefits include financial assistance, tax and fee waivers, priority access, route permits, subsidies, and renewal options."
"Online application through Lok Mitra Kendra/Common Service Centers, providing necessary information and documents, VLEs will assist in filling out the application form and uploading required documents online, payment of enrollment fee of ?50/- per family unit of up to five members, and verification of application and documents","The applicant must be a permanent resident of Himachal Pradesh, families not covered under the Ayushman Bharat Yojana, HIMCARE card holder, Below Poverty Line (BPL) families, Above Poverty Line (APL) families, Senior citizens and daily wage earners, widows, single women, and persons with disabilities",Mukhya Mantri Himachal Health Care Scheme-HIMCARE,https://www.myscheme.gov.in/schemes/himcare,"BPL families, registered street vendors, MNREGA workers, senior citizens above 70 years, children living in orphanages, disabled individuals, Anganwari workers, ASHA workers, and more","Department of Health & Family Welfare, Government of Himachal Pradesh","Health Insurance, Cashless Treatment, BPL, MNREGA, Senior Citizens, Disabled, Daily Wage Earners, Widows, Single Women, Persons with Disabilities","The scheme provides cashless treatment coverage up to ?5,00,000/- per year per family provided in the empanelled hospitals, comprehensive coverage, inclusion of previously uncovered families, categorization for differential premium rates, wide range of eligible beneficiaries, easy enrollment process, and empanelled hospital network"
"Offline and Online application process: 1. Visit the district labor office and request a hard copy of the prescribed format of the application form. 2. Fill in all the mandatory fields, and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the district labor office. 4. Request a receipt or acknowledgment from the district labor office.",1. The migrant worker must be a resident of Jharkhand. 2. The worker must be between the ages of 18 and 65 years. 3. The death or injury must have occurred due to an accident while working outside the state. 4. The worker must be engaged in an unskilled or semi-skilled job. 5. The worker should belong to economically weaker sections (EWS).,Jharkhand State Migrant Labourers Survey and Rehabilitation Scheme,https://www.myscheme.gov.in/schemes/jsmlsrs,Migrant workers and their families who are permanent residents of Jharkhand,"Department of Labour, Employment & Training, Government of Jharkhand","Migrant Worker, Rehabilitation, Financial Assistance, Death, Healthcare, Livelihood Support, Skill Development","The scheme aims to identify and support migrant workers from the state and ensures social security, rehabilitation, and welfare for migrant workers and their families. Financial, healthcare, and livelihood support are provided under the scheme."
Online and Offline application through Madhya Pradesh Tribal Affairs & Scheduled Caste Welfare Automation System (MPTAAS portal),"1. Native of Madhya Pradesh, 2. Belong to SC/ST/OBC category, 3. Studying in government school in Madhya Pradesh, 4. Studying in class 1 to 12 or college-level classes, 5. Reside in a remote rural area (priority given), 6. School should be within a maximum distance of 3 km for girls or 8 km for boys, 7. No income restrictions",Integrated Hostel Scheme,https://www.myscheme.gov.in/schemes/ihs,SC/ST/OBC students studying in classes 1st to 12th and college-level classes,"Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh","Education, Hostel, School, Student, Madhya Pradesh, Tribal Welfare, Scheduled Caste","Provides free residential facilities, meals, and basic amenities to SC/ST/OBC students for education from class 1 to 12 and college levels in Madhya Pradesh"
"Online application through the Chief Minister Scholarship Portal, Government of Goa, with steps including registration, login, filling out the application form, and uploading required documents.","The applicant should be a Student, belong to the Scheduled Caste community, and have availed (or be eligible for) the Centrally Sponsored Post Matric Scholarship during the current academic year.",Gagan Bharari Shiksha Yojana for SC Students,https://www.myscheme.gov.in/schemes/gbsysc,Scheduled Caste students,"Directorate of Social Welfare, Government of Goa","Education, Post Matric, SC, Scheduled Caste, Student, Allowance, Goa","The scheme provides additional financial assistance to Scheduled Caste students to supplement their Post Matric Scholarship maintenance allowance, including additional monthly allowances for food, travel, and disability-related expenses."
"Online application through official portal, registration using Aadhaar number and other required details","Resident of Gujarat, first-time pregnant woman or mother with a child under 2 years of age",Mukhyamantri Matrushakti Yojana,https://www.myscheme.gov.in/schemes/mmyg,First-time pregnant women and mothers with children under 2 years of age,"Women and Child Development Department, Gujarat","Maternal Health, Nutrition Kit, Pregnancy, Infant Mortality, Low Birth Weight","Improves health and nutrition of pregnant women and mothers with children under 2 years, provides nutritional kit containing groundnut oil, tuver dal, and chana to support calorie and protein needs"
Offline. Submission of Claim - Immediate written notice of claim should be given to the Insurance company through Coir Board along with the particulars.,"The applicant must be EITHER a disabled coir worker OR nominee of the disabled/deceased coir worker. If the applicant is a disabled coir worker, he/she should be at least 14 years in age. If the applicant is a disabled coir worker, the percentage of disability should be at least 40%.",Group Personal Accident Insurance Scheme For Coir Workers,https://www.myscheme.gov.in/schemes/gpaiscw,Coir workers,"Ministry Of Micro, Small and Medium Enterprises","Insurance, Coir Workers, Accident, Disability, Financial Assistance","A group insurance scheme that provides insurance cover against accidental death and permanent disability of the insured member. Benefits include Rs.50,000 for death due to accident, Rs.50,000 for permanent total disability, and Rs.25,000 for permanent partial disability."
"Application form duly filled in and countersigned by Agriculture officer/Panchayath President/CPF office bearers/CPC Directors along with premium share and age proof needs to be sent to Chairman, Coconut Development Board, Kera Bhavan, SRVHS Road, Kochi - 682011, Kerala.",Applicant should be between 18 to 65 years of age and should be a Coconut Tree Climber/Neera Technician/Coconut Harvester/Trainee.,Kera Suraksha Insurance Scheme,https://www.myscheme.gov.in/schemes/ksis,"Coconut Tree Climbers, Neera Technicians, and Coconut Harvesters",Ministry of Agriculture and Farmers Welfare,"Insurance, Agriculture, Coconut, Farmers Welfare","The scheme provides coverage for Coconut Tree Climbers, Neera Technicians, and Coconut Harvesters in all coconut-growing states. The scheme offers a sum assured of ?7.00 lakhs for 24-hour accident-related risks, including death."
"Offline application process involving 4 steps: obtaining the application form, filling and submitting the form with required documents, and obtaining a receipt or acknowledgement.",The applicant should have a disability of 40% or above. The applicant should be a government servant.,Group Insurance for Differently Abled Person Government Employees,https://www.myscheme.gov.in/schemes/gidapge,Differently Abled Person Government Employees,"Department of Social Welfare, Government of Puducherry","Banking, Disability, Employee, Government, Insurance","In case of death due to accident while in service the sum insured will be given to the family of the deceased employee. The sum insured varies based on the employee's group: Group A - ?1,20,000/-, Group B - ?60,000/-, Group C - ?30,000/-, and Group D - ?15,000/-."
"Offline application process involving submission of a self-nomination form available on the Directorate of Education's website, along with a portfolio that includes supporting materials like documents, reports, photographs, audios, or videos.","School teachers, special educators, and Heads of Schools working in recognized government or aided primary/middle/high, and secondary schools. In-service teachers shall have to fulfill the required academic and professional qualifications as per cadre for the State Award to Teachers.",State Award for Teachers,https://www.myscheme.gov.in/schemes/sat,"School teachers, special educators, and Heads of Schools","Directorate of Education, Government of Goa","Academic, Award, Education, Faculty, Goa, Teacher","The scheme aims to celebrate the unique contribution of the finest teachers in the state and honor those who have improved the quality of school education and enriched students' lives. Ten state awards consisting of ?100,000 and a citation each are provided to teachers across different categories including Primary, Secondary, High School Headmasters, and Higher Secondary levels."
"Offline application process with multi-level approval system starting from Gram Sabha, followed by Janpad Panchayat and finally by the Agriculture Standing Committee of the District Panchayat.",1. The applicant should be a progressive cattle breeder or a trained cow-helper. 2. The applicant should be a resident of Madhya Pradesh. 3. The applicant should be willing to maintain and breed the Murrah bull.,Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bull on Subsidy),https://www.myscheme.gov.in/schemes/aabssobpmbos,Progressive cattle breeders or trained cow-helpers,"Animal Husbandry Department, Madhya Pradesh","Animal, Breed, Cow, Subsidy","The scheme aims to improve cattle breeding by supplying pedigreed breedable Murrah bulls to progressive cattle rearers and trained cow servants. Beneficiaries receive a breedable pedigree Murrah bull at a subsidized rate, helping improve cattle breeding practices and milk production."
"Online application through the e-Kalyan portal, document preparation, submission to school, Aadhaar authentication, and approval workflow","The applicant/parents/guardians should be a native of Jharkhand, the applicant should be a student, the applicant must belong to the Scheduled Tribe category, the applicant must be enrolled in a state government-recognized school, and there is no income limit for students from Class 1st to 8th, and the applicant's annual family income should not exceed ?2,50,000/- for Class 9th and 10th",Jharkhand State Scheduled Tribe Pre-Matric Scholarship Scheme,https://www.myscheme.gov.in/schemes/jsstpmss-2,Scheduled Tribe students studying in government schools in Jharkhand from classes 1 to 10,"Department of Scheduled Tribe, Scheduled Caste, Minority and Backward Class Welfare, Government of Jharkhand","Financial Assistance, Pre-Matric, Scheduled Tribe, Scholarship, Student","The scheme aims to promote education and reduce dropout rates among Scheduled Tribe students. It provides financial assistance to students from Class 1st to 10th who are studying in government schools in Jharkhand and covers tuition fees, hostel expenses, and other educational costs"
"Offline application process. Step 1: Prepare a detailed proposal with cost estimates. Step 2: Submit the proposal to the Directorate of Education, Porvorim, Goa - 403 501.",All Government school buildings that need urgent minor repairs,Grant-in-aid Scheme to Village Education Committees/Urban Education Committees for minor repairs of Government School buildings,https://www.myscheme.gov.in/schemes/gsvec,All Government school buildings that need urgent minor repairs,"Directorate of Education, Government of Goa","Education, School, Repair, Government, Goa","The scheme provides grant-in-aid to address urgent minor repairs required in Government School buildings, particularly before the onset of monsoon. The grant covers 75% of the estimated repair costs, with a ceiling limit of ? 50,000/- per work."
"Online application process involving 5 steps: 1) Visit the application page, 2) Enter personal information and verify mobile number and Aadhaar number, 3) Upload relevant documents, 4) Read the declaration and tick the points, 5) Submit the application.","Farmers identified under the Saat Nischay-2 'Irrigation Water to Every Field' scheme, after a joint technical survey. Farmers must own at least 0.40 acre (40 decimal) of land. Priority will be given to small and marginal farmers. There should not be an existing borewell at the site. No previous grants or financial assistance have been taken for borewell construction at the same site by the Farmer.",Mukhyamantri Nijee Nalkup Yojana,https://www.myscheme.gov.in/schemes/mnny,Farmers in underprivileged regions with limited irrigation infrastructure,"Minor Water Resources Department, Bihar","Agriculture, Borewell, Farmer, Irrigation",The scheme provides financial assistance to support farmers in ensuring water availability through borewell construction and motor pump installation. It offers subsidies for borewell construction and motor pump installation.
Offline and Online application process involving submission of application form with mandatory documents to Block or District Office,"Families living in kutcha houses or without permanent housing, not benefited from existing housing schemes like PMAY-R, Indira Awas Yojana, or Birsa Awas Yojana",Abua Awas Yojana,https://www.myscheme.gov.in/schemes/aay,"Homeless families, vulnerable and underprivileged families, specially vulnerable tribal groups (PVTG), victims of natural calamities, and released bonded laborers","Department of Rural Development, Government of Jharkhand","Construction, Financial Assistance, Housing, Rural Development","Provides pucca houses to 8,00,000 homeless families in three phases with a budget of ?16,320/- crore, prioritizes housing for vulnerable and underprivileged families, providing financial and labor assistance for construction"
"Online application through the Madhya Pradesh Tribal Affairs & Scheduled Caste Welfare Automation System (MPTAAS) portal, involving registration, login, and submission of required documents.","The applicant should be from the Scheduled Tribes (ST) category, a native of Madhya Pradesh, a student of class 6th to 8th, studying in a government or recognized school, and have passed the previous year's examination.",Junior Hostel (Scheduled Tribes),https://www.myscheme.gov.in/schemes/jhst,Scheduled Tribe (ST) students studying in classes 6th to 8th,"Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh","Education, Hostel, Scheduled Tribe, Student",Provides free accommodation and mess facilities to students studying in classes 6th to 8th.
"Online application process through the official website, involving registration, filling out the application form, uploading required documents, and submitting the application.","Applicant must be a permanent resident of Bihar, belong to Extremely Backward Classes, aged between 18 and 50 years, and have passed at least 10+2, Intermediate, ITI, Polytechnic Diploma, or equivalent.",Mukhyamantri Ati Pichhada Varg Udyami Yojana,https://www.myscheme.gov.in/schemes/mapvuy,Individuals from Extremely Backward Classes in Bihar,"Department of Industries, Bihar","Business, Entrepreneurship, Extremely Backward Class, Self Employment, Youth","The scheme provides financial assistance of up to ?10,00,000/- to promote entrepreneurship and self-employment among individuals from all categories in the state."
"Online application process through the official website, involving registration, filling out the application form, uploading required documents, and submitting the application.","Applicant must be a permanent resident of Bihar, belong to Minority community, be aged between 18 and 50 years, and meet educational qualifications (10+2, Intermediate, ITI, Polytechnic Diploma, or equivalent)",Mukhyamantri Alpasankhyak Udyami Yojana,https://www.myscheme.gov.in/schemes/mauyb,Individuals from Minority communities in Bihar,"Department of Industries, Bihar","Business, Entrepreneurship, Minority, Self Employment, Youth","The scheme provides financial assistance of up to ?10,00,000/- (50% as a non-repayable grant and 50% as an interest-free loan) to promote entrepreneurship and self-employment among individuals from Minority communities in Bihar."
"Offline application process: 1. Visit the Block Office, District Welfare Office, or Project Director (ITDA) Office and request a hard copy of the prescribed format of the application form. 2. Fill in all the mandatory fields, and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the Block Office, District Welfare Office, or Project Director (ITDA) Office. 4. Request a receipt or acknowledgment from the District Differently Abled Welfare Officer.","1. The applicant must be a resident of Jharkhand. 2. The applicant must belong to the Scheduled Tribe, Scheduled Caste, or Backward Class categories. 3. The applicant must be suffering from the illness or surgery. 4. Applicants already availing financial assistance from other government schemes are ineligible. 5. The applicant must be a holder of one of the following ration cards: Priority Household Ration Card (PHH), Antyodaya Ration Card, or Green Card",Mukhyamantri Swasthya Sahayata Yojana Jharkhand,https://www.myscheme.gov.in/schemes/mmssyj,"SC/ST/OBC residents of Jharkhand with a Priority, Antyodaya, or Green Ration Card","Department of Scheduled Tribe, Scheduled Caste, Minority and Backward Class Welfare, Government of Jharkhand","Financial Assistance, Health, Rural, Scheduled Caste, Scheduled Tribe, Backward Class, Jharkhand","The scheme provides financial assistance for medical treatment to eligible beneficiaries, providing monetary support to alleviate financial burdens caused by illnesses, surgeries, or other medical needs. The grant amount varies depending on the type of illness, surgery, or treatment, and the age of the beneficiary."
"Online and offline application process through the official website, registration, login, and submission of application form with required documents","The applicant's age should be between 18 to 50 years, permanent resident of Jharkhand, annual family income should not exceed ?5,00,000/- for rural and urban areas, not employed in any government or semi-government job, not a loan defaulter in any bank, only environment-friendly business proposals are acceptable, and if disabled, the percentage of disability should not be less than 40%",Mukhyamantri Rojgaar Srijan Yojana,https://www.myscheme.gov.in/schemes/mmrsy,"Scheduled Tribes (ST), Scheduled Castes (SC), Minorities, Backward Classes, and Persons with Disabilities (PwDs)","Department of Scheduled Tribe, Scheduled Caste, Minority and Backward Class Welfare, Government of Jharkhand","Entrepreneurship, Financial Assistance, Loan, Self-employment","The scheme aims to promote self-employment and entrepreneurship by providing subsidized loans and financial assistance, including a subsidy of 40% of the loan amount or up to ?5,00,000, whichever is lower, loan guarantee facility, low interest rate of 6%, and entrepreneurship development training"
"Offline application process. The interested applicant downloads the application form from the official website, fills in all the mandatory fields, attaches copies of all the mandatory documents, and submits the application form to the District Sports Officer.",The applicant should be a coach who trains medal-winning athletes/teams participating in competitions recognized by the International or Indian Olympic Association. The applicant must have coached athletes/teams representing Jharkhand or India for at least four years. The medal-winning athletes must have competed in recognized competitions for the coach to qualify.,Jharkhand Sports Excellence Cash Award Scheme to Coaches,https://www.myscheme.gov.in/schemes/jsecasc,Coaches who train athletes and teams to achieve excellence in national and international competitions,"Department of Sports & Youth Affairs, Government of Jharkhand","Athletes, Award, Coaches, Financial Assistance, International, National, Sports Development","The scheme aims to provide cash awards to coaches who train athletes and teams to achieve excellence in national and international competitions under the Jharkhand Sports Policy, 2022. Cash rewards are provided to encourage and sustain their contribution to sports development."
"Offline application process involving visiting the concerned office of the District Officer or Committee, collecting and filling the application form, attaching mandatory documents, and submitting the complete application.","The applicant must be a resident of Bihar state, work as a worker or craftsman in the unorganized sector within Bihar, and be aged between 18 and 65 years.",Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,https://www.myscheme.gov.in/schemes/bsakppd,Workers and artisans in the unorganized sector,"Labour Resources Department, Bihar","Social Security, Unorganised Worker, Craftsmen, Permanent Partial Disability","The scheme aims to provide social security through financial assistance to workers and artisans in the unorganized sector in Bihar. Financial assistance of ?37,500/- is provided in case of permanent partial disablement."
"Online and Offline application through the Shram Seva Portal (MPBOCWWB) official website, with steps including registration, filling out the form, uploading necessary documents, and submitting the application.","The applicant should be a resident of Madhya Pradesh, a Building/ Construction Worker, between 18 and 60 years, engaged in any building or other construction work for at least 90 days during the preceding 12 months, and registered Under the Building and Other Construction Workers Welfare Board of Madhya Pradesh.",Labour Skill Training Scheme (MPBOCWWB),https://www.myscheme.gov.in/schemes/lstsmpbocwwb,Construction workers aged 18-45 years and their dependents aged 16-45 years,"Building and Other Construction Workers Board, Government of Madhya Pradesh","Skill Training, Construction Workers, Madhya Pradesh, Education, Welfare Scheme","The scheme offers free skill training to construction workers and their dependents, enhancing their skills and employability."
"Offline and Online. Step 1: Visit Commissioner Municipal Corporation / Chief Municipal Officer Nagar palika / Nagar Panchayat and request the hard copy of the prescribed format of the application form. Step 2: Fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period, if any.","1. Resident of Madhya Pradesh, 2. Building/ Construction Worker, 3. Between 18 and 60 years, 4. Engaged in building or other construction work for at least 90 days during the preceding 12 months, 5. Registration of the applicant should be renewed annually.",Chief Minister's Building and Other Construction Workers Urban Housing Scheme (MPBOCWWB),https://www.myscheme.gov.in/schemes/cmbaocwump,Urban construction workers,"Labour Department, Govt. of Madhya Pradesh","Construction, Financial Assistance, Housing, Labour, Urban, Worker","Provides ?1,00,000 in assistance to eligible urban construction workers, along with Central and State Government grants. Supports workers eligible under the Pradhan Mantri Awas Yojana."
"Offline application process: 1. Obtain the application form from the Tribal Affairs Department Headquarters, Bhopal. 2. Fill in the form, attach required documents, and submit it within the prescribed period.","1. Age: 35 years old as of 1st January. 2. Annual income limit: ?10 lakhs. 3. Educational qualifications: Graduation with at least 55% marks for postgraduate studies, and postgraduate with at least 50% marks for Ph.D.",Study Abroad Scholarships (Scheduled Tribe),https://www.myscheme.gov.in/schemes/sas,Scheduled Tribe students,"Tribal Affairs Department, Government of Madhya Pradesh","Higher Education, Scheduled Tribe, Scholarships, Abroad","The scheme provides scholarships to Scheduled Tribe students for pursuing higher education abroad, covering tuition fees of 40,000 US Dollars per year, along with a living allowance of 9,000 US Dollars and a contingency allowance of 1,000 US Dollars."
Online application through national scholarship portal and JKBOCWWB website,One of the student's parents must be a registered member of the Building and Other Construction Workers (BOC) Welfare Board. The applicant must be studying in classes 9th to 12th.,Workers for Class 9th to 12th Through National Scholarship (JKBOCWWB),https://www.myscheme.gov.in/schemes/wfctnsjkbocwwb,Children of registered Building and Other Construction (BOC) workers studying in classes 9th to 12th,Building and Other Construction Workers Welfare Board,"Construction, Education, Labour, Scholarship, Worker","The scheme provides annual financial assistance of ?1,200 per child (up to two children) for the education of registered BOC workers' children through the national scholarship portal."
"Offline and Online. The interested applicant should visit the Public Service Center/District Panchayat/Urban Body Office and request the hard copy of the prescribed format of the application form from the concerned authority. Fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the authority.",1. The construction worker must have passed away while he/she was registered with the Madhya Pradesh Building and Other Construction Workers Welfare Board (MPBOCWWB) when he/she died. 2. The construction worker must have passed away while he/she held an active regular membership with the MPBOCWWB. 3. Only the legal heir or dependent family member of the deceased registered worker is eligible to apply for benefits under the scheme. 4. The construction worker must have passed away while he/she had a valid identity card.,Death Assistance Scheme (MPBOCWWB),https://www.myscheme.gov.in/schemes/dasmpbocwwb,Legal heir or dependent family member of a registered construction worker,"Building and Other Construction Workers Welfare Board (MPBOCWWB), Government of Madhya Pradesh","Accident, Construction, Death, Disability, Funeral, Worker",The scheme provides funeral assistance and ex-gratia payment to the heir of a worker in the event of their death. It also offers ex-gratia in case of permanent or partial temporary disability of a registered worker due to an accident.
"Offline application process involving printing and filling of the prescribed application form, attaching mandatory documents, and submitting it to the Head of the Institution of the respective school.","The applicant should be a citizen of India, a native of the Union Territory of Puducherry by birth or by continuous residence for not less than five years, studying from standard 6 to 10, belonging to the Other Economically Backward Class (OEBC), and having a family income not exceeding ?75,000 per annum.",Award of Pre-Matric Scholarship to Other Economically Backward Class (OEBC) Students,https://www.myscheme.gov.in/schemes/apmsoebcs,OEBC students in standards 6 to 10,"Directorate of School Education, Union Territory of Puducherry","Education, Scholarship, School, Student, OEBC","The scheme provides scholarships to students in standards 6 to 10, mitigating the risk of dropouts due to financial constraints. The scholarship amount is ?50 per month per student for standards 6 to 8 and ?75 per month per student for standards 9 & 10."
"Online application through Chevening website, complete online registration form, pass eligibility checker, make a note of access code, complete each section of the application form, submit application","Resident of Jharkhand state, belongs to Scheduled Tribes, Scheduled Castes, Minorities, or Backward Classes, maximum age 35 years, holds a bachelor's degree, outstanding academic performance, admission offer from a top 100 globally ranked university or a UK university listed in Annexure-A",Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,https://www.myscheme.gov.in/schemes/mgjsmoss,"Scheduled Tribes, Scheduled Castes, Minorities, and Backward Class students","Department of Welfare of Scheduled Tribes, Scheduled Castes, Minorities and Backward Classes, Government of Jharkhand","Scholarship, Overseas Education, Financial Assistance, Jharkhand Government","Provides financial assistance to deserving students for pursuing postgraduate education in top-ranked universities abroad, covers tuition fees, living expenses, travel, and other academic-related costs"
"Offline application process: Step 1: Fill in all the mandatory fields in the application form and attach copies of all the mandatory documents (self-attest, if required). Step 2: Submit the duly filled and signed application form along with the documents to the Block Development Officer in rural areas and the concerned Zonal Officer in urban areas.",1. The age of the applicant should be 18 years or above. 2. The applicant's name should be included in the list of families living Below Poverty Line. 3. The applicant should be suffering from severe or multiple disabilities. 4. The applicant should not be receiving pension benefits from any other Central or State Government pension scheme.,Indira Gandhi National Disability Pension Scheme - Jharkhand,https://www.myscheme.gov.in/schemes/igndpsj,Severely disabled and multi-disabled individuals aged 18 and above who are living below the poverty line (BPL),"Department of Women, Child Development & Social Security, Government of Jharkhand","Disability Pension, Financial Assistance, Jharkhand, Poverty Line, Severe Disability, Multiple Disabilities","Financial assistance is provided to severely disabled and multi-disabled individuals aged 18 and above who are living below the poverty line (BPL) to support them in living a respectful life. Eligible beneficiaries will receive a monthly pension of ?1000/- (Central contribution- ?300/-, State Contribution- ?700/-)."
