Application Process,Description & Benefits,URL,Ministries/Departments,Eligibility Criteria,Tags,Scheme Name,Target Beneficiaries
"Offline application process involving collecting the application form, filling in mandatory fields, attaching required documents, and submitting to the concerned authority.","The scheme provides interest-free loans up to ₹1,00,000/- on jewels, helping citizens meet various financial needs without the burden of interest rates.",https://www.myscheme.gov.in/schemes/lsmpcjl,"Co-operation, Food and Consumer Protection Department, Tamil Nadu","The beneficiary should be a resident of Tamil Nadu, a member of a Large Sized Multi Purpose Cooperative Society, and interested to avail Jewel Loan from the Large Sized Multi Purpose Cooperative Society.","Cooperative Society, Interest Free Loan, Jewel Loan, Tamil Nadu",Large Sized Multi Purpose Coop. Society: Jewel Loan (Interest Free),Residents of Tamil Nadu who are members of a Large Sized Multi Purpose Cooperative Society
Online and Offline application process through the official website of the Jammu & Kashmir Building and Other Construction Workers Welfare Board.,"Provides financial assistance to the children of registered workers for their education from Class 9th to post-graduation. Regular students in Class 9th to 10th receive ₹4,500/-, Class 11th to 12th receive ₹6,000/-, undergraduate students receive ₹10,000/-, and postgraduate students receive ₹15,000/-.",https://www.myscheme.gov.in/schemes/aejkbocwwb,"Labour Department, Jammu & Kashmir",1. The parent/s must be registered member/s of the 'Jammu & Kashmir Building and Other Construction Workers Welfare Board'. 2. The parent/s must have an active membership with the JKBOCWW Board. 3. The child must be a student. 4. The child must be a regular in attendance.,"Construction, Education, Labour, Student, Worker",Academic Education (JKBOCWWB),Children of registered construction workers
"Offline application process: Collect the application form from the District Central Cooperative Banks or its branches, fill in all the mandatory fields, attach copies of all the mandatory documents, and submit the application form to the concerned authority.","The scheme provides financial support through a loan of up to ₹20,000/- at a nominal interest rate of 12%. The loans are facilitated by District Central Cooperative Banks and their branches, which ensure accessibility to women seeking financial assistance for professional and personal growth.",https://www.myscheme.gov.in/schemes/dccbfww,"Co-operation, Food and Consumer Protection Department, Tamil Nadu",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a working woman.,"Loan, Working Women, Financial Assistance, Tamil Nadu",District Central Cooperative Banks and through its Branches: For Working Women,Working Women
"Offline application through collecting the application form from the nearest Agricultural Office, filling it out with required details and attaching mandatory documents, and submitting it to the concerned office.","The scheme provides training to maize farmers to adopt better practices to improve yield and farm sustainability, with financial assistance of ₹300/- per farmer.",https://www.myscheme.gov.in/schemes/ttf,"Agriculture-Farmers Welfare Department, Tamil Nadu","The beneficiary should be a Farmer, resident of any of the 18 specified districts of Tamil Nadu, and grow maize.","Agriculture, Farmer, Maize, Training, Tamil Nadu",Training to Farmers,Maize-growing farmers
Offline application through the Headmaster of the School with required documents,"The scheme provides reimbursement of public examination fees for 10th and 12th standard students from the Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities, with no income limit.",https://www.myscheme.gov.in/schemes/adtwspe,Adi Dravidar and Tribal Welfare Department,"The beneficiary should be a Student, a resident of Tamil Nadu, belong to the Adi Dravidar/Tribal/Adi Dravidar converted to Christianity community, and must be appearing for public examinations of 10th/12th Std.","Education, Examination Fee, Scholarship, Tribal Welfare",Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std.,"Students from Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities"
"Offline, Download application form from MBOCWW official website, Fill in all the mandatory fields, Attach copies of all the mandatory documents, Submit the duly filled and signed application form along with the documents to the Labor Commissioner / Government Labor Officer","Educational assistance of ₹2,500/- to the children studying in 1st to 7th standard and ₹5,000/- for the children studying in 8th to 10th standard of the registered construction workers",https://www.myscheme.gov.in/schemes/eacs1t7a8t10,"Labour Department Maharashtra, Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW)","The worker should be engaged in a building or other construction work, The worker should be registered under the Maharashtra Building & Other Construction Workers Welfare Board, The children or a registered male worker's wife should be enrolled in any grade from Class 1st to 10th, Only two children or a registered male worker's wife will be entitled to scholarships","Educational Assistance, Labour, Student, Construction Worker, Building Worker",Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class,"Children of registered construction workers, Wife of a registered male worker"
"Offline application process involving 4 steps: 1. Obtain and fill the application form, 2. Attach required documents, 3. Submit the application to the Labour Board Inspector, 4. Request a receipt or acknowledgement.",Provides a monthly pension to construction workers who have completed 5 years of service as a registered beneficiary and reached the age of 60. The pension amount is ₹500 per month with an increase of ₹10/- for each additional year of service beyond the initial 5 years.,https://www.myscheme.gov.in/schemes/pbbwc60y,Manipur Building and Other Construction Workers' Welfare Board,1. Registered under the Manipur Building and Other Construction Workers' Welfare Board. 2. Working as a building worker for not less than 5 years. 3. Age should be 60 years or above.,"Construction Worker, Financial Assistance, Pension, Senior Citizen",Pension to the Beneficiary Building Worker Who Has Completed 60 Years,Construction workers who have completed 5 years of service as a registered beneficiary and reached the age of 60
"Offline application process involving collecting the application form from the District Central Cooperative Banks or its branches, filling in all the mandatory fields, attaching required documents, and submitting the application form to the concerned authority.","The scheme offers financial support through Self Help Groups to pregnant women for maternity-related expenses. The loan is capped at ₹2,000/- with an interest rate of 11%, subject to changes.",https://www.myscheme.gov.in/schemes/dccbfml,"Co-operation, Food and Consumer Protection Department, Tamil Nadu","The beneficiary should be a woman, pregnant, a resident of Tamil Nadu, and the loan should be applicable only for Maternity.","Health And Wellness, Maternity Loan, Pregnancy, Self Help Groups, Women Empowerment",District Central Cooperative Banks and through its Branches: For Maternity Loan through Self Help Groups,Pregnant women
"Offline application process: Collect the application form from the District Central Cooperative Banks or its branches, fill in all the mandatory fields, attach copies of all the mandatory documents, and submit the duly filled and signed application form along with the documents to the concerned authority.","The scheme offers loans for the purchase of consumer durables, including T.V.s, refrigerators, and two-wheelers. The loan covers up to 75% of the product cost, with no upper ceiling, and is subject to a 14% interest rate (subject to change).",https://www.myscheme.gov.in/schemes/dccbfcd,"Co-operation, Food and Consumer Protection Department, Tamil Nadu","The beneficiary should be a resident of Tamil Nadu. Loans should be applicable only for Consumer durables such as T.V., Fridge and two wheelers.","Consumer Loan, Electronics, Two Wheeler Loan","District Central Cooperative Banks and through its Branches: For Consumer Durables T.V., Fridge and Two Wheelers Loan",Residents of Tamil Nadu
"Offline application process involving collecting the application form from the District Central Cooperative Banks or its branches, filling in the mandatory fields, attaching required documents, and submitting the application to the concerned authority.","Provides financial assistance to citizens for housing construction, repair, and extension. The maximum loan amount offered is ₹10,00,000/- with an interest rate of 12% (subject to change).",https://www.myscheme.gov.in/schemes/dccbfhl,"Co-operation, Food and Consumer Protection Department, Tamil Nadu",The beneficiary should be a resident of Tamil Nadu. Loans should be applicable only for Housing/ House Construction/ Repair Extension.,"Housing, House Construction, Repair Extension, Loan, Tamil Nadu","District Central Cooperative Banks and through its Branches: For Housing, House Construction, Repair Extension Loan",Citizens of Tamil Nadu
Offline application through the concerned educational institution,"The scheme offers financial assistance to students from BC/MBC/DNC communities to pursue higher secondary education in top private schools in Tamil Nadu, ensuring they receive the best resources and opportunities to further their studies",https://www.myscheme.gov.in/schemes/sfmstn,"Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu","The beneficiary should be a student, a resident of Tamil Nadu, belong to BC/MBC/DNC, have secured the highest marks in 10th Public examination, be among the Top 10 meritorious students from each district, be studying in Government/ Government Aided/ Private School, and have a parental annual income not exceeding ₹1,00,000/-","Financial Assistance, Higher Education, Higher Secondary, Minority Welfare, Scholarship",Scheme for Meritorious Students to Pursue Higher Secondary Education in the Best Schools of Tamil Nadu,"Meritorious students from Backward Classes (BC), Most Backward Classes (MBC) and Denotified Communities (DNC) who have secured the highest marks in the 10th public examination"
Offline application process. The scheme will be advertised in newspapers during April/May. Interested candidates must submit their literary works along with the required documents to the designated authority as mentioned in the advertisement.,"The scheme provides a cash award of ₹20,000/- to the top 10 writers from Adi Dravidar, Tribal, or Adi Dravidar communities converted to Christianity, with one additional spot for a writer from other communities. The scheme aims to recognize and promote literary talent within these communities.",https://www.myscheme.gov.in/schemes/atbw,"Adi Dravidar and Tribal Welfare Department, Tamil Nadu","The beneficiary should be a resident of Tamil Nadu, an unemployed writer, and belong to the Adi Dravidar/Tribal/ Adi Dravidar converted to Christian community.","Cash Award, Tribal Welfare, Unemployment, Writers","Award of ₹20,000/- to Best Writers","Writers from Adi Dravidar, Tribal, or Adi Dravidar Christian-converted communities and one writer from any other community"
"Offline application through the concerned educational institution. Collect the application form, fill in all the mandatory fields, attach copies of all the mandatory documents, and submit the duly filled and signed application form along with the documents to the institution.","The scheme offers financial assistance to students from Backward Classes (BC) and Most Backward Classes (MBC) studying in English medium from 6th to 10th standard. The prizes are distributed to students from both Government/Government Aided and Private Schools who have studied Tamil as their first language. Awards are given in various categories, with no income limit.",https://www.myscheme.gov.in/schemes/psslp,"Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu","The beneficiary should be a student, a resident of Tamil Nadu, belong to the Backward Classes (BC)/ Most Backward Classes (MBC)/ Denotified Communities (DNC), studying in a Government/ Government Aided/ Private School, and have studied Tamil as the first language.","Education, Financial Assistance, Minority Welfare, Scholarship",Prize Schemes to the Students (State Level Prizes),"Students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC)"
"Offline. Collect the application form from the nearest Agricultural Office, fill out the application form with the required details and attach mandatory documents, and submit the form to the concerned office.","The scheme provides subsidies to farmers for installing pipes to carry water from the source to their fields, offering a 50% subsidy or up to ₹15,000/- for pipes (up to 800m), including PVC, HDPE, and others.",https://www.myscheme.gov.in/schemes/pcwfsf,"Agriculture-Farmers Welfare Department, Tamil Nadu",The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu.,"Agriculture, Farmer, Irrigation, Pipes",Pipes Carrying Water From Source To Field,Farmers
"Offline application process. Collect the application form from the nearest Agricultural Office, fill out the application form with the required details and attach mandatory documents, submit the form to the concerned office.","The scheme offers training to farmers and agricultural laborers to enhance their skills and knowledge. Each training session supports up to 50 participants, with a grant of ₹5,000/- provided per session to cover the costs.",https://www.myscheme.gov.in/schemes/ft,"Agriculture-Farmers Welfare Department, Tamil Nadu","The beneficiary should be a Farmer, The beneficiary should be a resident of Tamil Nadu, The beneficiary should have interest in joining the training to enhance agricultural skills.","Agriculture, Farmer, Training",Farmers Training,Farmers and agricultural laborers
"Offline, Collect the application form from the nearest Agricultural Office, Fill out the application form with the required details and attach mandatory documents, Submit the form to the concerned office","Provides financial assistance to farmers by subsidizing 50% of the cost of gypsum material and transportation cost, helping them improve soil fertility and increase yield",https://www.myscheme.gov.in/schemes/dog,"Agriculture-Farmers Welfare Department, Tamil Nadu","The beneficiary should be a Farmer, The beneficiary should be a resident of Tamil Nadu, The beneficiary should grow pulse crops","Agriculture, Farmers, Pulse Crops, Gypsum, Subsidy, Tamil Nadu",Distribution of Gypsum,Farmers who grow pulse crops
"Online application through PRL website, submission of required documents, shortlisting, and interview","Financial support to conduct advanced research in fundamental sciences with societal implications, ₹1,00,000 per month with HRA and other facilities as per PRL/DOS rules",https://www.myscheme.gov.in/schemes/prlvishwas,Ministry of Science and Technology,"Indian national, PhD awarded within the last four years, age 35 years or below, first-class academic record, strong research proposal aligned with PRL's research areas","Postdoctoral Fellowship, Research, Scholarship, Fundamental Sciences, Societal Implications",PRL's Vikram Sarabhai Postdoctoral Fellowship (VISHWAS),Highly motivated young PhD holders
"The applicant visits the PRL website, downloads the prescribed format of the application form, fills in all the mandatory fields, and attaches copies of all the mandatory documents. The application can be emailed or posted to the Director, Physical Research Laboratory, Navrangpura, Ahmedabad-380009.","The award recognizes outstanding contributions by Indian scientists under the age of 45 in the fields of Space Sciences, Space Applications, Electronics, Informatics, Telematics, Automation, and Systems Analysis or Management. The awards consist of a cash prize of ₹50,000, a medal, and recognition for original research work done in India.",https://www.myscheme.gov.in/schemes/hoapdvsra,Ministry Of Science And Technology,"The applicant should be an Indian citizen, a scientist, and below 45 years of age. The applicant's contributions should be in the areas of Space Sciences, Space Applications, Electronics, Informatics, Telematics, Automation, etc.","Research Award, Space Sciences, Space Applications, Electronics, Informatics, Telematics, Automation, Systems Analysis or Management",Hari Om Ashram Prerit Doctor Vikram Sarabhai Research Award,Indian scientists under the age of 45
"Online application through PRL website, attaching self-attested copies of required documents","Opportunity to pursue cutting-edge research in various science domains, Fellowship Allowance: ₹37,000/- per month (JRF), ₹42,000/- per month (SRF), Platinum Jubilee Research Fellowship (ATAL): ₹40,000/- per month, Ph.D. Registration: opportunity to register for a Ph.D. at an institute/university with an MoU with PRL",https://www.myscheme.gov.in/schemes/prljrf,Ministry Of Science And Technology,"Indian citizen, age 28 or less as of 01st July 2024, Bachelor's and Master's degree in science or engineering with at least 60% marks, qualified in CSIR-UGC-NET JRF/AP, GATE, JEST, or UGC-NET JRF/AP in relevant subjects","Research, Fellowship, Science, Technology, Space, Astronomy, Astrophysics, Physics, Geosciences, Planetary Sciences, Space Sciences, Theoretical Physics",PRL Junior Research Fellowships,Highly motivated and academically excellent candidates
"Online application through Seva Sindhu Portal, registration process involves 7 steps, and then applying for the scheme involves 5 steps.","The scheme provides financial assistance to setup mechanized production units, helping leather artisan SHGs and cooperative societies enhance the quality of their products, making them more competitive in the market. The scheme provides both financial and technical assistance, helping artisans shift from traditional methods to modern techniques. Total Financial Assistance: ₹10,00,000/- per unit.",https://www.myscheme.gov.in/schemes/cs,Social Welfare Department,"The applicant should be leather artisans/Artisans SHGs/Co-operative societies, belongs to sub-castes Arundathiyar, Chammadiya, Chamar, Chambar, Chamagar, Madar, Madig, Madiga, Mini Madig, Jambavalu, Haralayya, Machigar, Mochigar, Mochi, muchi, Telugu Mochi, kamaati mocha, Rohidas, Dhor, kakkayya, Kankayya, Samagara, Samagar, Aadhi Anddra, Aadhi Dravida, Aadhi Karnataka among schedule castes. The age of the applicant should be 18 years. The applicant's annual family income should not exceed ₹30,000/ in rural areas and ₹25,000/- in urban areas. The applicant or their family members must not have received benefits from other schemes, except training programs. The applicant's family members should not be employed in government or semi-government organizations.","Artisans, Co-operative Society, Financial Assistance, SHGs, Subsidy, Leather Industry, Modernization, Mechanized Production Units",Charmashilpa Scheme,Leather artisans/Artisans SHGs/Co-operative societies
"Online application through Seva Sindhu Portal, registration, and applying for the scheme",The scheme aims to assist SC leather artisans in establishing their own showrooms or mobile vans to sell their products directly to consumers. Financial assistance is provided in the form of a subsidy depending on the location of the business.,https://www.myscheme.gov.in/schemes/ssmm,"Department of Social Welfare, Govt of Karnataka","The applicant should be leather artisans, belongs to specific sub-castes, age 18 years, annual family income not exceeding ₹30,000/- in rural areas and ₹25,000/- in urban areas, not received benefits from other schemes, and family members not employed in government or semi-government organizations.","Artisans, Financial Assistance, Scheduled Caste, Self-employed, Youth",Swavalambi/Sanchari Marata Malige,Scheduled Caste leather artisans
"Offline. Step-1: Visit the A.P. Building & Other Construction Workers Welfare Board and request a hard copy of the prescribed format of the application form. Step-2: Fill in all the mandatory fields, and attach copies of all the mandatory documents. Step-3: Submit the duly filled and signed application form along with the documents to the Assistant Labour Officer/Assistant Commissioner of Labour. Step-4: Request a receipt or acknowledgement from the Assistant Labour Officer/Assistant Commissioner of Labour.","The scheme aims to provide financial assistance on the occasion of their marriage, helping to alleviate the financial burden for families involved in the construction sector. Financial assistance for marriage: ₹20,000/-.",https://www.myscheme.gov.in/schemes/mgsapbocwwb,Andhra Pradesh Building & Other Construction Workers LET&F (Labour) Department,"For construction workers themselves (Women only): 1) Registered under the Andhra Pradesh Building and Other Construction Workers Welfare Board, 2) Woman, 3) Unmarried. For daughters of construction workers: 1) Up to two daughters, 2) Daughter(s) should have completed 18 years of age at the time of marriage.","Construction Worker, Daughter, Financial Assistance, Marriage, Unmarried",Marriage Gift Scheme (APBOCWWB),Registered unmarried women workers and the two daughters of registered construction workers
"Offline, through primary social worker ASHA, Anganwadi centres, or District Development officer or Chief District Health Officer","Provides support to children in need of care and protection, including expert care to newborn babies, early neonatal care, immunizations, and nutrition advice",https://www.myscheme.gov.in/schemes/bsy,"Department of Women and Child Development, National Health Mission, State Child Protection Society","Newborns up to 30 days old belonging to Below Poverty Line (BPL) families and Scheduled Caste categories, who do not pay income tax","Child Health, Child Protection, Primary Healthcare Services",Bal Sakha Yojana,"Vulnerable children in the age group of 0-18 years, especially those from socially and economically disadvantaged backgrounds"
"Online application through MAHA DBT portal, registration, filling out the application form, and submitting required documents","This stipend aims to support the trainees financially and encourage them to pursue and complete their vocational training, thereby contributing to skilled manpower development in the state. The benefit is ₹500/- per month.",https://www.myscheme.gov.in/schemes/cts-maharashtra,"Skill Development, Employment and Entrepreneurship Department, Government of Maharashtra","The applicant should be a resident of Maharashtra state, belong to specified categories, annual income of parents should not exceed ₹8,00,000/-, only two siblings within a family are eligible, maintain an average of 80% attendance, and pass the first year to enroll in a 2-year trade","Skill Development, Stipend, Training, Vocational Training, Maharashtra",Craftsman Training Scheme - Maharashtra,"Residents of Maharashtra state, belonging to Scheduled Castes, Scheduled Tribes, Freed Castes and Nomadic Tribes, Other Backward Classes, Special Backward Classes, Minority Communities and Open Category economically backward"
"Offline application process: 1. Submit the duly filled and signed application in the prescribed format along with required attachments at the Right to Public Service (RTPS) counter located at the block office level. 2. Receive an acknowledgment receipt from the RTPS counter. 3. Applicants will be notified of the application's approval or rejection via SMS or email. 4. If approved, collect the Sanction Order from the same RTPS counter where the application was submitted, upon presenting the acknowledgment receipt and a valid identity card.","The scheme provides a monthly pension to elderly people to support them financially. Beneficiaries aged 60 to 79 years receive ₹400 per month, while those aged 80 years or above receive ₹500 per month.",https://www.myscheme.gov.in/schemes/ignoapsb,"Social Welfare Department, Government of Bihar",1. The applicant (Woman/Man) should be a resident of Bihar. 2. The applicant should be a senior citizen. 3. The applicant should be 60 years of age or older. 4. The applicant should belong to a Below Poverty Line (BPL) family. 5. The applicant should not be receiving pension benefits under any social security scheme.,"BPL, Indira Gandhi, Old Age, Pension, Senior Citizen",Indira Gandhi National Old Age Pension Scheme- Bihar,Elderly people (women/men) aged 60 years or above belonging to Below Poverty Line (BPL) families
Offline application submission to the office of Bihar State AIDS Control Society,"The scheme provides financial assistance of ₹1,500/- per month to AIDS patients in the state.",https://www.myscheme.gov.in/schemes/bsaidspky,"Social Welfare Department, Government of Bihar",1. The applicant should be a resident of Bihar. 2. The applicant should be an AIDS patient. 3. The applicant should be 18 years of age or older.,"AIDS, Financial Assistance, Bihar",Bihar Shatabdi AIDS Pirit Kalyan Yojana,AIDS patients
Offline application on plain paper along with required documents to the office of the Sub-Divisional Officer.,"A one-time grant of ₹20,000/- is provided to the family or close relative of the deceased person. The scheme provides social security to the immediate dependents of the deceased by providing them financial assistance after the sudden death of a member of a poor family in the state.",https://www.myscheme.gov.in/schemes/cmfbs,"Social Welfare Department, Government of Bihar","The applicant should be a resident of Bihar, a family member or dependent of the deceased, and the deceased should have died in an accident or a criminal incident (if aged 18-60 years). The deceased should belong to a poor family.","Death, Family, Financial Assistance, Accident, Criminal Incident, Suicide, Poor Family, Social Security",Chief Minister Family Benefit Scheme,Immediate dependents of the deceased person from a poor family in Bihar
Offline. Beneficiaries should register their names at their nearest Anganwadi Center.,"The scheme aims to create a distinct identity for Anganwadi Centre children and bring a sense of uniformity and social harmony among the children. Under this scheme, a cash amount of ₹400/- per child per year is provided for uniforms to all eligible children.",https://www.myscheme.gov.in/schemes/sbvcydpsc,"Social Welfare Department, Government of Bihar",1. The beneficiary should be a resident of Bihar. 2. The beneficiary should be a child. 3. The beneficiary should be between 3 and 6 years of age. 4. The beneficiary should be enrolled at an Anganwadi Centre. 5. The beneficiary should be receiving pre-school education at the Anganwadi Centre.,"Anganwadi, Pre-school, Uniform, Education, Bihar",Samekit Baal Vikas Chhtra Yojana: Dress for Pre-school Children,Children aged 3 to 6 years who are receiving pre-school education at Anganwadi Centres
Online application through E-kalyan Portal,"Under this scheme, students from minority communities who are studying and residing in hostels run by the Minority Welfare Department, Government of Bihar, will receive a monthly stipend of ₹1,000/-, provision of essential facilities such as cots, mattresses, bed sheets, tables, chairs for studying, as well as cooking utensils and kitchen facilities, and monthly distribution of 9 kg of rice and 6 kg of wheat to each student.",https://www.myscheme.gov.in/schemes/mmacy,"Minority Welfare Department, Government of Bihar","1. The applicant should be a native of Bihar. 2. The applicant should be a student. 3. The student should belong to a minority community. 4. The student should be enrolled in a recognized institution, school, college, university, or technical institution in their respective district. 5. The student should be pursuing a course that is recognized by the Government. 6. The student should reside in a hostel operated by the Minority Welfare Department, Government of Bihar, while pursuing their studies.","Minority Community, Stipend, Student, Hostel, Education",Mukhyamantri Alpsankhyak Chhatravas Yojana,Students belonging to minority communities
Online application through the official website of the department. Registration and login are required to submit the application.,The scheme provides 50% of the pension amount or a maximum of ₹ 500/- to the family members of the deceased pensioner.,https://www.myscheme.gov.in/schemes/ppy-jbocwwb,"Department of Labour, Employment, Training & Skill Development, Govt. of Jharkhand",1. The applicant should be a family member or dependent of the deceased pensioner. 2. The deceased pensioner should have been a resident of Jharkhand. 3. The deceased pensioner should have been receiving a pension from the Jharkhand Building and Other Construction Worker Welfare Board at the time of their death.,"Construction Worker, Family, Pension, Social Welfare",Parivaar Pension Yojana (JBOCWWB),Family members of deceased pensioners
Online application has to be submitted by the beneficiary on Board's Online Portal in the prescribed format. Approval and selection of the candidate will be done by the senior-most officer of the labour office or the competent authority appointed by the secretary after the application has been examined.,"The purpose of this scheme is to encourage registered beneficiaries employed in building and other construction works and their children to participate in international sports. The incentive amount under this scheme for International level sports competition to the eligible beneficiary or his children will be given as follows: - Participating in the competition- ₹ 2,00,000/-, On receiving the Bronze medal- ₹5,00,000/-, On receiving the Silver medal- ₹8,00,000/-, On receiving the Gold medal- ₹11,00,000/-",https://www.myscheme.gov.in/schemes/nsakppy,"Labour Department, Rajasthan","1. Applicant should be a resident of Rajasthan State. 2. For this scheme, those construction workers will be eligible, who are registered as labour under labour law. 3. Those building and other construction workers will be eligible who are registered as beneficiaries in the board under Section-12 of The Building and Other Construction Workers (Regulation of Employment and Conditions of Service) Act, 1996 and are depositing their contribution regularly. 4. In addition to the above, unmarried sons and daughters of construction workers will also be eligible for assistance under the scheme.","Construction Worker, International Sports, Participation, Sports Scheme",Nirman Shramik Antrashtriya Khel Pratiyogiyo Hetu Protsahan Yojana,Registered beneficiaries employed in building and other construction works and their children
"Online application through the official website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB). The application process involves registration, login, filling in mandatory details, uploading required documents, and submitting the application.","The scheme provides financial assistance to registered construction workers and their dependents for medical expenses related to specified major ailments. Eligible applicants can receive up to ₹2,00,000/- for medical expenses, subject to the rates prescribed under the Central Government Health Service (CGHS).",https://www.myscheme.gov.in/schemes/amakcbkassistance-for-major-ailments-karmika-chikitsa-bhagya-kbocwwb,"Department of Labour, Karnataka",The beneficiary should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka or his/her dependents. The worker or their dependents must suffer from a major ailment specified in the scheme.,"Medical Assistance, Labour, Construction Worker, Building Worker, Ailments",Assistance For Major Ailments (Karmika Chikitsa Bhagya) (K.B.O.C.W.W.B),Registered construction workers and their dependents
Online application process through the official website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB),The scheme provides financial support to registered construction workers in the form of pension who are partially disabled due to accidents or diseases incurred at their worksite. Beneficiaries may receive an ex-gratia payment depending on the extent of their disability. The pension is discontinued upon the beneficiary reaching sixty (60) years of age.,https://www.myscheme.gov.in/schemes/dpaexgkbocwwb,"Department of Labour, Karnataka","The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka, partially disabled due to worksite accidents or diseases, and not have availed “Accident Benefits” for the same disability, and must be below sixty (60) years of age.","Disability, Pension, Ex-Gratia, Labour, Karnataka",Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),Registered construction workers who are partially disabled due to accidents or diseases incurred at their worksite
Offline application submission to the Joint Director/Deputy Director at the District Office of the Panchayat and Social Welfare Department,"The scheme provides artificial limbs/assistive devices worth up to ₹6,900/- to persons with disabilities, aiming to increase their mobility and reduce the impact of their disabilities",https://www.myscheme.gov.in/schemes/aladss,Social Welfare Department of the Government of Chhattisgarh,"1. Resident of Chhattisgarh, 2. Disability of 40% or more, 3. Possess a Disability Certificate or UDID Card, 4. Monthly income not exceeding ₹8,000/-, 5. Either a member of a BPL family or have a recommendation from the Collector or Sub-Divisional Officer (Revenue)","Artificial Limbs, Assistive Devices, Disability, BPL, PwD",Artificial Limbs and Assistive Devices Supply Scheme,Persons with disabilities of 40% or more
"Online - via CSCs, Offline - through nearby Sewa Kendra or Registering Officers/ Labour Inspector","The scheme provides full course fees, boarding and lodging assistance to the registered workers who acquire Skill from technical institutions such as ITIs /Polytechnic colleges etc.",https://www.myscheme.gov.in/schemes/suvesfwpbocwwb,"Department of Labour, Punjab","The applicant should be a resident of Punjab, a Building/ Construction Worker (Unorganised Worker), between 18 and 60 years, have engaged in building and construction work for at least 90 days in a given year, have a monthly income of ₹15,000/- or below, not be a member of any other Welfare Fund established under any law, not have membership of the Employees' Provident Fund (EPF)/ National Pension System (NPS)/ Employees' State Insurance Corporation (ESIC), and not be an income tax payer.","Skill Upgradation, Vocational Education, Building Worker, Construction Worker, Labour",Skill Upgradation and Vocational Education Scheme: For Worker (P.B.O.C.W.W.B),Registered workers of the BOCW Welfare Board
Online application through ServicePlus website and then visit the website of the ministry to apply for the scheme.,"The Internship Program is specifically focusing on the ‘Office set-up of MoPR’. The selected candidates will receive a certificate of completion. The Internship Program, MoPR shall provide a flat rate/amount of Rs.7,000/- per month as ‘stipend’ to the ‘Intern’, depending on the best applicants.",https://www.myscheme.gov.in/schemes/rgsaip,Ministry Of Panchayati Raj,"The applicants i.e., ‘Students’ are enrolled/pursuing Undergraduate/Graduate/Postgraduate degree programme or ‘Research Scholars’ enrolled/pursuing Doctoral (Ph.D.)/Post-Doctoral degree in recognised/reputed University(s)/Institution(s) or completed any of the mentioned course , within last 2 years from India or Abroad are eligible to apply for the Internship Program.","Internship, Research, Students, Rural Development, Policy and Action Research",Rashtriya Gram Swaraj Abhiyan - Internship Program,"Students enrolled/pursuing undergraduate, graduate, or postgraduate degree programs and 'Young Research Scholars' enrolled/pursuing Doctoral (Ph.D.) or post-doctoral degrees"
"Offline application process involving downloading the application form, filling in the mandatory fields, attaching required documents, and submitting the application to the concerned officer in the labour department.","The scheme offers a 90-day non-residential skill development training programme specifically designed for unemployed girls and women who are dependents of registered construction workers. The programme focuses on imparting curtain and garment stitching skills, providing participants with the necessary tools and training to become self-reliant and enhance their employability. Benefits include gaining hands-on experience and technical skills in curtain and garment stitching, receiving a domestic sewing machine upon completion of the training, and enhancing employability.",https://www.myscheme.gov.in/schemes/sdt-90dsdtpcgs,"Telangana Building & Other Construction Workers Welfare Board, LET&F (Labour) Department, Telangana","1. The applicant should be a woman. 2. The applicant should be a dependent of the registered construction worker. 3. The applicant's age should be 18 years or above. 4. The applicant must have completed at least the 5th class. 5. The applicant should have knowledge of Telugu, Hindi, and English language. 6. The applicant should be any one of the following: Unemployed Girls, Widowed, Divorced and Deserted Daughters, Spouse","Skill Development, Training, Women Empowerment, Self-employment, Sewing Machine, Construction Workers",Skill Development Training - 90 Days Skill Development Training Programme in Curtain & Garment Stitching,Unemployed girls and women who are dependents of registered construction workers
